baseline_variant,model,batch_size,sequence_length,latency_ms,throughput_images_s,throughput_tokens_s,energy_j,flow_buffer_peak_frac,flow_buffer_peak_frac_status,repeat_count
ASTRA,mobilevit_s,1,128,1.60252787,624.0141084098587,79873.80587646192,0.10341459223736124,0.0,derived_from_trace,1
ASTRA,mobilevit_s,1,197,1.9156985999999998,522.002782692434,102834.5481904095,0.12689651598511556,0.0,derived_from_trace,1
ASTRA,mobilevit_s,1,256,2.21686885,451.08667569576795,115478.1889781166,0.1499092324759585,0.0,derived_from_trace,1
ASTRA,mobilevit_s,2,128,3.1873466,627.4811782314481,80317.59081362536,0.2052730906280985,0.0,derived_from_trace,1
ASTRA,mobilevit_s,2,197,3.82565777,522.785915583871,102988.82537002258,0.25328865817969537,0.0,derived_from_trace,1
ASTRA,mobilevit_s,2,256,4.406160570000001,453.9099218528933,116200.93999434069,0.29739504963382674,0.0,derived_from_trace,1
ASTRA,mobilevit_s,4,128,6.34711817,630.2072677496723,80666.53027195805,0.4081227659593562,0.0,derived_from_trace,1
ASTRA,mobilevit_s,4,197,7.64557563,523.1783967062792,103066.14415113699,0.506072942562605,0.0,derived_from_trace,1
ASTRA,mobilevit_s,4,256,8.78592099,455.273841473505,116550.10341721728,0.5924699799451896,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,1,128,0.7435571099999999,1344.8866086426099,172145.48590625406,0.041672436780658545,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,1,197,0.87346671,1144.8633228391727,225538.074599317,0.050781156268738505,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,1,256,0.98602228,1014.1758662897556,259629.02177017744,0.05869916599473858,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,2,128,1.47821345,1352.9845774302757,173182.0259110753,0.08256299338287139,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,2,197,1.7338403699999998,1153.5087281420263,227241.21944397918,0.1004118359058913,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,2,256,1.9588275400000001,1021.0189305384177,261380.84621783494,0.11623696089093281,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,4,128,2.9432144399999998,1359.0582954601161,173959.46181889487,0.16396461571469842,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,4,197,3.4539527999999997,1158.0934169106192,228144.40313139197,0.19961731057966428,0.0,derived_from_trace,1
ASTRA,mobilevit_xs,4,256,3.89977898,1025.699153853073,262578.9833863867,0.23090320086807703,0.0,derived_from_trace,1
