artifact_id,family_id,row_status,kind,source_path,future_output_path,required_fields,release_scope,notes
cpu_real_device_metrics,DEVCOMP_CPU_CONTEXT_LOCAL_TORCH,retained_context_anchor,csv,,experiments/results/report_data/fuller_cpu_device_metrics_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,workload_id;model;latency_ms;avg_power_w;energy_j;latency_source;latency_measurement_window;power_measurement_window;energy_derivation;comparison_boundary;comparison_kind;benchmark_equivalence;measurement_evidence_type;batch_size;sequence_length;host_name;device_model;framework;precision_mode;accuracy_backend,successor_dense_support_prep,Retain the governed CPU contextual row under a successor namespace without changing its evidence tier
gpu_real_device_metrics,DEVCOMP_GPU_LOCAL_MLX_MPS,retained_context_anchor,csv,,experiments/results/report_data/fuller_gpu_device_metrics_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,workload_id;model;latency_ms;avg_power_w;energy_j;latency_source;latency_measurement_window;power_measurement_window;energy_derivation;comparison_boundary;comparison_kind;benchmark_equivalence;measurement_evidence_type;batch_size;sequence_length;host_name;device_model;framework;precision_mode;accuracy_backend,successor_dense_support_prep,Retain the governed local Apple GPU row under the successor namespace
astra_substrate_model_summary,ACCEL_ASTRA_SUBSTRATE_MODEL,retained_context_anchor,csv,,experiments/results/report_data/fuller_reentry_astra_substrate_summary_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,run_id;experiment_id;core_latency_ms;latency_ms;system_latency_lower_ms;system_latency_upper_ms;energy_j;avg_power_w;stage_cycles;bubble_cycles;utilization_avg;integrated_system_cost_evidence;flow_timeline_evidence;meso_cost_evidence;phy_support_evidence;realism_class;proxy_promotion_ready;proxy_upgrade_blockers;benchmark_claim_ready;comparison_boundary;device_comparison_scope;benchmark_equivalence;energy_breakdown_conversion_control_j;energy_breakdown_memory_move_j,successor_dense_support_prep,Retain the ASTRA summary artifact contract so noise-only widening can still join paired phase1 metrics honestly
fuller_slice_model_summary,ACCEL_FULLER_SLICE_MODEL,retained_context_anchor,csv,,experiments/results/report_data/fuller_reentry_model_summary_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,run_id;experiment_id;core_latency_ms;latency_ms;system_latency_lower_ms;system_latency_upper_ms;energy_j;avg_power_w;acc_top1;acc_drop_pp;flow_buffer_peak_cycles;net_energy_gain_j;P_laser_mw;integrated_system_cost_evidence;flow_timeline_evidence;meso_cost_evidence;phy_support_evidence;realism_class;proxy_promotion_ready;proxy_upgrade_blockers;benchmark_claim_ready;comparison_boundary;device_comparison_scope;benchmark_equivalence;accuracy_source_csv,successor_dense_support_prep,Retain the fuller slice model summary contract while successor widening stays scoped to XS/XXS noise support
noise_accuracy_summary_s_dense,NOISE_IMAGENET_MOBILEVIT_S_DENSE,retained_primary_dense_anchor,csv,,experiments/results/report_data/fuller_noise_accuracy_summary_s_dense_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,model;profile;sweep_resolution;crosstalk_alpha;gaussian_noise_std;accuracy_backend;engine;parity_status;parity_report_ref;acc_top1;acc_drop_pp;latency_ms;energy_j;accuracy_results_csv;accuracy_source_run_ids;accuracy_seeds;phase1_run_id;phase1_run_dir;accuracy_launch_policy;phase1_launch_policy,successor_dense_support_prep,Carry forward the dense MobileViT-S artifact ID under the successor namespace
noise_accuracy_summary_xs_dense,NOISE_IMAGENET_MOBILEVIT_XS_DENSE,planned_successor_widening,csv,,experiments/results/report_data/fuller_noise_accuracy_summary_xs_dense_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,model;profile;sweep_resolution;crosstalk_alpha;gaussian_noise_std;accuracy_backend;engine;parity_status;parity_report_ref;acc_top1;acc_drop_pp;latency_ms;energy_j;accuracy_results_csv;accuracy_source_run_ids;accuracy_seeds;phase1_run_id;phase1_run_dir;accuracy_launch_policy;phase1_launch_policy,successor_dense_support_prep,Replace the legacy XS sparse-support artifact with a governed dense 2D summary artifact
noise_accuracy_summary_xxs_dense,NOISE_IMAGENET_MOBILEVIT_XXS_DENSE,planned_successor_widening,csv,,experiments/results/report_data/fuller_noise_accuracy_summary_xxs_dense_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,model;profile;sweep_resolution;crosstalk_alpha;gaussian_noise_std;accuracy_backend;engine;parity_status;parity_report_ref;acc_top1;acc_drop_pp;latency_ms;energy_j;accuracy_results_csv;accuracy_source_run_ids;accuracy_seeds;phase1_run_id;phase1_run_dir;accuracy_launch_policy;phase1_launch_policy,successor_dense_support_prep,Replace the legacy XXS sparse-support artifact with a governed dense 2D summary artifact
ablation_summary,ABLATION_CORE_STACK,retained_context_anchor,csv,,experiments/results/report_data/fuller_ablation_summary_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,mechanism_variant;latency_ms;energy_j;avg_power_w;acc_top1;acc_drop_pp;stage_cycles;bubble_cycles;utilization_avg,successor_dense_support_prep,Retain the ablation summary contract unchanged under the successor namespace
ablation_appendix_table,ABLATION_CORE_STACK,retained_context_anchor,csv,,experiments/results/report_data/fuller_ablation_appendix_table_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,mechanism_variant;latency_ms;energy_j;avg_power_w;acc_top1;acc_drop_pp;delta_latency_pct;delta_energy_pct;delta_acc_drop_pp,successor_dense_support_prep,Retain the ablation appendix contract unchanged under the successor namespace
stage_latency_breakdown,BREAKDOWN_STAGE_ENERGY,retained_context_anchor,csv,,experiments/results/report_data/fuller_stage_latency_breakdown_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,baseline_variant;stage;latency_ms;cycle_share;module_group,successor_dense_support_prep,Retain stage latency breakdown outputs under the successor namespace
stage_energy_breakdown,BREAKDOWN_STAGE_ENERGY,retained_context_anchor,csv,,experiments/results/report_data/fuller_stage_energy_breakdown_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,baseline_variant;component;energy_j;energy_share,successor_dense_support_prep,Retain stage energy breakdown outputs under the successor namespace
scaling_summary,SCALING_BATCH_SEQ,retained_context_anchor,csv,,experiments/results/report_data/fuller_scaling_summary_20260403_det_sparse_mlx_final_cpu_context_repair_xs_xxs_dense.csv,baseline_variant;batch_size;sequence_length;latency_ms;throughput_images_s;throughput_tokens_s;flow_buffer_peak_frac,successor_dense_support_prep,Retain the bounded scaling summary contract unchanged under the successor namespace
