er_db,xtalk_db,wdm_channels_n,duty_cycle,margin_db,effective_wdm_channels,loss_path_db,pp_crosstalk_db,p_laser_dbm,p_laser_mw,laser_limit_mw,boundary_status,evidence_label,promotion_decision,claim_boundary
3.0,-30.0,8,1.0,1.0,8.0,5.3,0.04539889596250728,-9.321267770704159,0.11691580464381686,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,1.0,3.0,8.0,5.3,0.04539889596250728,-7.321267770704159,0.1852990628710988,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,1.0,6.0,8.0,5.3,0.04539889596250728,-4.321267770704159,0.3697202371457525,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.75,1.0,6.0,5.3,0.03247613659271567,-9.33419053007395,0.11656842993844667,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.75,3.0,6.0,5.3,0.03247613659271567,-7.3341905300739505,0.18474851106532436,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.75,6.0,6.0,5.3,0.03247613659271567,-4.3341905300739505,0.36862174187525276,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.5,1.0,4.0,5.3,0.019514809790382993,-9.347151856876282,0.11622105523307645,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.5,3.0,4.0,5.3,0.019514809790382993,-7.347151856876282,0.18419795925954996,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.5,6.0,4.0,5.3,0.019514809790382993,-4.347151856876282,0.367523246604753,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.25,1.0,2.0,5.3,0.006514684660477808,-9.360151982006187,0.11587368052770629,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.25,3.0,2.0,5.3,0.006514684660477808,-7.360151982006187,0.18364740745377556,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,8,0.25,6.0,2.0,5.3,0.006514684660477808,-4.360151982006187,0.3664247513342533,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,1.0,1.0,16.0,5.3,0.09670880559912731,-9.269957861067539,0.11830530346529768,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,1.0,3.0,16.0,5.3,0.09670880559912731,-7.269957861067539,0.1875012700941965,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,1.0,6.0,16.0,5.3,0.09670880559912731,-4.269957861067539,0.37411421822775165,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.75,1.0,12.0,5.3,0.07112962573378659,-9.295537040932878,0.11761055405455732,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.75,3.0,12.0,5.3,0.07112962573378659,-7.295537040932878,0.18640016648264768,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.75,6.0,12.0,5.3,0.07112962573378659,-4.295537040932878,0.37191722768675217,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.5,1.0,8.0,5.3,0.04539889596250728,-9.321267770704159,0.11691580464381686,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.5,3.0,8.0,5.3,0.04539889596250728,-7.321267770704159,0.1852990628710988,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.5,6.0,8.0,5.3,0.04539889596250728,-4.321267770704159,0.3697202371457525,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.25,1.0,4.0,5.3,0.019514809790382993,-9.347151856876282,0.11622105523307645,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.25,3.0,4.0,5.3,0.019514809790382993,-7.347151856876282,0.18419795925954996,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,16,0.25,6.0,4.0,5.3,0.019514809790382993,-4.347151856876282,0.367523246604753,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,1.0,1.0,25.0,5.3,0.15371699855299062,-9.212949668113675,0.11986848963946366,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,1.0,3.0,25.0,5.3,0.15371699855299062,-7.212949668113675,0.18997875322018143,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,1.0,6.0,25.0,5.3,0.15371699855299062,-4.212949668113675,0.3790574469450007,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.75,1.0,19.0,5.3,0.11579480467458719,-9.250871861992078,0.11882636552335302,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.75,3.0,19.0,5.3,0.11579480467458719,-7.250871861992078,0.18832709780285817,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.75,6.0,19.0,5.3,0.11579480467458719,-4.250871861992078,0.3757619611335014,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.5,1.0,13.0,5.3,0.0775385586406188,-9.289128108026047,0.1177842414072424,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.5,3.0,13.0,5.3,0.0775385586406188,-7.289128108026047,0.1866754423855349,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.5,6.0,13.0,5.3,0.0775385586406188,-4.289128108026047,0.37246647532200206,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.25,1.0,7.0,5.3,0.03894232285630058,-9.327724343810365,0.11674211729113176,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.25,3.0,7.0,5.3,0.03894232285630058,-7.327724343810365,0.18502378696821162,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,25,0.25,6.0,7.0,5.3,0.03894232285630058,-4.327724343810365,0.36917098951050265,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,1.0,1.0,32.0,5.3,0.19754506060604599,-9.169121606060619,0.12108430110825938,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,1.0,3.0,32.0,5.3,0.19754506060604599,-7.169121606060619,0.19190568454039197,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,1.0,6.0,32.0,5.3,0.19754506060604599,-4.169121606060619,0.38290218039175,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.75,1.0,24.0,5.3,0.14741958366460484,-9.219247083002061,0.11969480228677853,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.75,3.0,24.0,5.3,0.14741958366460484,-7.219247083002061,0.1897034773172942,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.75,6.0,24.0,5.3,0.14741958366460484,-4.219247083002061,0.37850819930975077,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.5,1.0,16.0,5.3,0.09670880559912731,-9.269957861067539,0.11830530346529768,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.5,3.0,16.0,5.3,0.09670880559912731,-7.269957861067539,0.1875012700941965,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.5,6.0,16.0,5.3,0.09670880559912731,-4.269957861067539,0.37411421822775165,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.25,1.0,8.0,5.3,0.04539889596250728,-9.321267770704159,0.11691580464381686,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.25,3.0,8.0,5.3,0.04539889596250728,-7.321267770704159,0.1852990628710988,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-30.0,32,0.25,6.0,8.0,5.3,0.04539889596250728,-4.321267770704159,0.3697202371457525,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,1.0,1.0,8.0,5.3,0.1419708986561029,-9.224695768010562,0.1195447266217704,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,1.0,3.0,8.0,5.3,0.1419708986561029,-7.224695768010562,0.18946562341746873,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,1.0,6.0,8.0,5.3,0.1419708986561029,-4.224695768010562,0.37803361838696065,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.75,1.0,6.0,5.3,0.10187913832795799,-9.264787528338708,0.11844623135127058,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.75,3.0,6.0,5.3,0.10187913832795799,-7.264787528338708,0.1877246257413029,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.75,6.0,6.0,5.3,0.10187913832795799,-4.264787528338708,0.37455987133325847,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.5,1.0,4.0,5.3,0.06141382100103146,-9.305252845665635,0.1173477360807708,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.5,3.0,4.0,5.3,0.06141382100103146,-7.305252845665635,0.18598362806513702,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.5,6.0,4.0,5.3,0.06141382100103146,-4.305252845665635,0.3710861242795564,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.25,1.0,2.0,5.3,0.020567919879128517,-9.346098746787536,0.11624924081027103,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.25,3.0,2.0,5.3,0.020567919879128517,-7.346098746787536,0.18424263038897126,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,8,0.25,6.0,2.0,5.3,0.020567919879128517,-4.346098746787536,0.36761237722585444,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,1.0,1.0,16.0,5.3,0.2987363015978555,-9.06793036506881,0.12393870770376954,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,1.0,3.0,16.0,5.3,0.2987363015978555,-7.0679303650688095,0.19642961412213208,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,1.0,6.0,16.0,5.3,0.2987363015978555,-4.0679303650688095,0.39192860660176904,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.75,1.0,12.0,5.3,0.22106089835718573,-9.14560576830948,0.12174171716276996,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.75,3.0,12.0,5.3,0.22106089835718573,-7.14560576830948,0.1929476187698004,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.75,6.0,12.0,5.3,0.22106089835718573,-4.14560576830948,0.3849811124943648,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.5,1.0,8.0,5.3,0.1419708986561029,-9.224695768010562,0.1195447266217704,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.5,3.0,8.0,5.3,0.1419708986561029,-7.224695768010562,0.18946562341746873,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.5,6.0,8.0,5.3,0.1419708986561029,-4.224695768010562,0.37803361838696065,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.25,1.0,4.0,5.3,0.06141382100103146,-9.305252845665635,0.1173477360807708,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.25,3.0,4.0,5.3,0.06141382100103146,-7.305252845665635,0.18598362806513702,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,16,0.25,6.0,4.0,5.3,0.06141382100103146,-4.305252845665635,0.3710861242795564,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,1.0,1.0,25.0,5.3,0.46858719300090895,-8.898079473665756,0.12888193642101853,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,1.0,3.0,25.0,5.3,0.46858719300090895,-6.8980794736657565,0.2042641036648783,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,1.0,6.0,25.0,5.3,0.46858719300090895,-3.8980794736657565,0.40756046834342835,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.75,1.0,19.0,5.3,0.3560945301896013,-9.010572136477064,0.1255864506095192,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.75,3.0,19.0,5.3,0.3560945301896013,-7.010572136477064,0.19904111063638083,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.75,6.0,19.0,5.3,0.3560945301896013,-4.010572136477064,0.39713922718232214,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.5,1.0,13.0,5.3,0.2406103798492159,-9.12605628681745,0.12229096479801983,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.5,3.0,13.0,5.3,0.2406103798492159,-7.12605628681745,0.19381811760788328,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.5,6.0,13.0,5.3,0.2406103798492159,-4.12605628681745,0.3867179860212158,0.2,fail,parametric,boundary,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.25,1.0,7.0,5.3,0.12197128155792825,-9.244695385108738,0.11899547898652049,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
3.0,-25.0,25,0.25,3.0,7.0,5.3,0.12197128155792825,-7.244695385108738,0.1885951245793858,0.2,pass,parametric,appendix,"optical/circuit-aware parametric sweep, not Lumerical/Spectre closure"
