slack_bits,columns,target_mhz,tier_bits_per_column,validity_bits_per_column,sideband_bits,latency_cycles,estimated_delay_ps,clock_period_ps,critical_path_slack_ps,critical_path_status,area_ge_proxy,dynamic_power_uw_proxy,yosys_status,yosys_cell_count,yosys_log_path,evidence_label,promotion_decision,claim_boundary
8,32,500,2,1,96,1,480.0,2000.0,1520.0,pass,640.0,295.2,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
8,32,1000,2,1,96,1,480.0,1000.0,520.0,pass,640.0,590.4,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
8,64,500,2,1,192,1,480.0,2000.0,1520.0,pass,976.0,453.59999999999997,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
8,64,1000,2,1,192,1,480.0,1000.0,520.0,pass,976.0,907.1999999999999,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
8,128,500,2,1,384,1,480.0,2000.0,1520.0,pass,1648.0,770.4,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
8,128,1000,2,1,384,1,480.0,1000.0,520.0,pass,1648.0,1540.8,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
8,192,500,2,1,576,1,480.0,2000.0,1520.0,pass,2320.0,1087.2,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
8,192,1000,2,1,576,1,480.0,1000.0,520.0,pass,2320.0,2174.4,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,32,500,2,1,96,1,550.0,2000.0,1450.0,pass,676.0,311.4,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,32,1000,2,1,96,1,550.0,1000.0,450.0,pass,676.0,622.8,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,64,500,2,1,192,1,550.0,2000.0,1450.0,pass,1012.0,469.79999999999995,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,64,1000,2,1,192,1,550.0,1000.0,450.0,pass,1012.0,939.5999999999999,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,128,500,2,1,384,1,550.0,2000.0,1450.0,pass,1684.0,786.5999999999999,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,128,1000,2,1,384,1,550.0,1000.0,450.0,pass,1684.0,1573.1999999999998,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,192,500,2,1,576,1,550.0,2000.0,1450.0,pass,2356.0,1103.4,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
10,192,1000,2,1,576,1,550.0,1000.0,450.0,pass,2356.0,2206.8,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,32,500,2,1,96,1,620.0,2000.0,1380.0,pass,712.0,327.59999999999997,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,32,1000,2,1,96,1,620.0,1000.0,380.0,pass,712.0,655.1999999999999,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,64,500,2,1,192,1,620.0,2000.0,1380.0,pass,1048.0,485.99999999999994,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,64,1000,2,1,192,1,620.0,1000.0,380.0,pass,1048.0,971.9999999999999,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,128,500,2,1,384,1,620.0,2000.0,1380.0,pass,1720.0,802.8,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,128,1000,2,1,384,1,620.0,1000.0,380.0,pass,1720.0,1605.6,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,192,500,2,1,576,1,620.0,2000.0,1380.0,pass,2392.0,1119.6,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
12,192,1000,2,1,576,1,620.0,1000.0,380.0,pass,2392.0,2239.2,pass,155,experiments/results/runs/suds_rtl_control_overhead_20260512_j2_quality_boost/yosys_synthesis.log,rtl_synthesis,appendix,"Yosys RTL synthesis plus proxy timing/area/power estimates; not liberty-backed timing, placed-and-routed silicon, or datapath closure"
