tag,roadmap_item,task,condition,seed,primary_metric_name,primary_metric,delta_from_reference,keep_ratio,degrade_ratio,prune_ratio,device,git_hash,reference_mean
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e0_dense,0,accuracy,0.92431193,0.0,1.0,0.0,0.0,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e0_dense,1,accuracy,0.92431193,0.0,1.0,0.0,0.0,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e0_dense,2,accuracy,0.92431193,0.0,1.0,0.0,0.0,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e0_dense,3,accuracy,0.92431193,0.0,1.0,0.0,0.0,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e0_dense,4,accuracy,0.92431193,0.0,1.0,0.0,0.0,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e0_dense,5,accuracy,0.92431193,0.0,1.0,0.0,0.0,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e0_dense,6,accuracy,0.92431193,0.0,1.0,0.0,0.0,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e2_l1,0,accuracy,0.52637615,-0.39793578,0.5,0.497881,0.002119,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e2_l1,1,accuracy,0.82912844,-0.09518349,0.5,0.497881,0.002119,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e2_l1,2,accuracy,0.78555046,-0.13876147,0.5,0.497881,0.002119,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e2_l1,3,accuracy,0.82912844,-0.09518349,0.5,0.497881,0.002119,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e2_l1,4,accuracy,0.75802752,-0.16628441,0.5,0.497881,0.002119,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e2_l1,5,accuracy,0.82568807,-0.09862386,0.5,0.497881,0.002119,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,sst2,e2_l1,6,accuracy,0.59174312,-0.33256881,0.5,0.497881,0.002119,mps,d335c6f,0.92431193
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e0_dense,0,f1,0.91349481,0.0,1.0,0.0,0.0,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e0_dense,1,f1,0.91349481,0.0,1.0,0.0,0.0,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e0_dense,2,f1,0.91349481,0.0,1.0,0.0,0.0,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e0_dense,3,f1,0.91349481,0.0,1.0,0.0,0.0,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e0_dense,4,f1,0.91349481,0.0,1.0,0.0,0.0,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e0_dense,5,f1,0.91349481,0.0,1.0,0.0,0.0,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e0_dense,6,f1,0.91349481,0.0,1.0,0.0,0.0,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e2_l1,0,f1,0.60635697,-0.30713784,0.5,0.497692,0.002308,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e2_l1,1,f1,0.775,-0.13849481,0.5,0.497692,0.002308,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e2_l1,2,f1,0.71201814,-0.20147667,0.5,0.497692,0.002308,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e2_l1,3,f1,0.87356322,-0.03993159,0.5,0.497692,0.002308,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e2_l1,4,f1,0.87260035,-0.04089446,0.5,0.497692,0.002308,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e2_l1,5,f1,0.88468158,-0.02881323,0.5,0.497692,0.002308,mps,d335c6f,0.91349481
20260514_r12_reinforcement,R12f_bert_multiseed_accuracy,mrpc,e2_l1,6,f1,0.66976744,-0.24372737,0.5,0.497692,0.002308,mps,d335c6f,0.91349481
