tag,roadmap_item,row_type,stage,model,dataset,sample_count,sample_indices_sha256,policy,policy_label,search_role,seed,top1_accuracy_pct,correct,total,elapsed_s,images_per_second,keep_ratio,degrade_ratio,prune_ratio,target_keep_ratio,target_degrade_ratio,target_prune_ratio,degrade_noise_std,prune_noise_std,selector,batch_size,device,PYTORCH_ENABLE_MPS_FALLBACK,git_hash,command,source_r9_workload_json_sha256,source_r12_deit_json_sha256,script_sha256,reference_mean_top1_pct,delta_top1_pp,sensitivity_case,workload,workload_family,dataset_or_split,condition,condition_label,condition_family,tile_dim,tiles,cores_per_tile,parallel_cores,sideband_group_cols,adc_sharing_mode,source_condition,n_kernels,macs,dptc_tiles,output_values,memory_moved_bytes,control_groups,active_compute_ratio,latency_ns,energy_pj,edp_pj_ns,area_mm2,adc_energy_pj,dac_mzm_energy_pj,detector_tia_energy_pj,laser_energy_pj,memory_energy_pj,optical_link_energy_pj,control_energy_pj,optical_link_pj,control_overhead_pj,digital_fallback_energy_pj,accuracy_metric,accuracy,delta_accuracy,accuracy_evidence_label,promotion_decision,architecture_evidence_label,claim_boundary,reference_lightening_edp_pj_ns,energy_ratio_vs_lightening,latency_ratio_vs_lightening,edp_ratio_vs_lightening,energy_improvement_vs_lightening_pct,edp_improvement_vs_lightening_pct
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,screening_only,deit_tiny_patch16_224,imagenet-1k/validation,2048,86b768c30236ecc18884e183f08bbfe43d1e83ad65199addfc7aca45ef81058f,e0_dense,dense 8-bit reference,dense_baseline,0,72.9004,1493,2048,8.9,230.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,dense_reference,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.9004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,screening_only,deit_tiny_patch16_224,imagenet-1k/validation,2048,86b768c30236ecc18884e183f08bbfe43d1e83ad65199addfc7aca45ef81058f,no_prune_keep90,"No-prune top-90% keep, standard degrade",conservative_candidate,0,72.9492,1494,2048,7.5,274.0,0.901042,0.098958,0.0,0.9,0.1,0.0,0.003,0.0,column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.9004,0.0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,screening_only,deit_tiny_patch16_224,imagenet-1k/validation,2048,86b768c30236ecc18884e183f08bbfe43d1e83ad65199addfc7aca45ef81058f,no_prune_keep95,"No-prune top-95% keep, standard degrade",conservative_candidate,0,72.8027,1491,2048,7.4,275.5,0.951654,0.048346,0.0,0.95,0.05,0.0,0.003,0.0,column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.9004,-0.0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,screening_only,deit_tiny_patch16_224,imagenet-1k/validation,2048,86b768c30236ecc18884e183f08bbfe43d1e83ad65199addfc7aca45ef81058f,light_degrade_keep90,"No-prune top-90% keep, light degrade",conservative_candidate,0,73.0469,1496,2048,7.4,275.1,0.901042,0.098958,0.0,0.9,0.1,0.0,0.0015,0.0,column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.9004,0.1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,screening_only,deit_tiny_patch16_224,imagenet-1k/validation,2048,86b768c30236ecc18884e183f08bbfe43d1e83ad65199addfc7aca45ef81058f,light_degrade_keep95,"No-prune top-95% keep, light degrade",conservative_candidate,0,72.9004,1493,2048,7.5,274.9,0.951654,0.048346,0.0,0.95,0.05,0.0,0.0015,0.0,column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.9004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,screening_only,deit_tiny_patch16_224,imagenet-1k/validation,2048,86b768c30236ecc18884e183f08bbfe43d1e83ad65199addfc7aca45ef81058f,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,0,72.8516,1492,2048,7.5,274.4,0.154044,0.845956,0.0,0.151838,0.848162,0.0,0.00075,0.0,r9_suds_pareto_ratio_column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.9004,-0.0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,e0_dense,dense 8-bit reference,dense_baseline,0,72.132,36066,50000,230.9,216.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,dense_reference,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,e0_dense,dense 8-bit reference,dense_baseline,1,72.132,36066,50000,218.9,228.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,dense_reference,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,e0_dense,dense 8-bit reference,dense_baseline,2,72.132,36066,50000,208.4,240.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,dense_reference,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,0,72.132,36066,50000,210.7,237.3,0.154044,0.845956,0.0,0.151838,0.848162,0.0,0.00075,0.0,r9_suds_pareto_ratio_column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,1,72.052,36026,50000,214.9,232.7,0.154044,0.845956,0.0,0.151838,0.848162,0.0,0.00075,0.0,r9_suds_pareto_ratio_column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
