tag,roadmap_item,scenario_id,regime,sweep_axis,sweep_value,realistic_regime,workload,promoted_condition,reference_condition,memory_bandwidth_scale,activation_reuse_scale,batch_size_scale,sequence_length_scale,adc_energy_scale,dac_energy_scale,laser_multiplier,optical_link_loss_scale,sideband_control_overhead_scale,suds_energy_pj,reference_energy_pj,energy_ratio_vs_reference,energy_improvement_vs_reference_pct,suds_latency_ns,reference_latency_ns,latency_ratio_vs_reference,suds_edp_pj_ns,reference_edp_pj_ns,edp_ratio_vs_reference,edp_improvement_vs_reference_pct,benefit_preserved,benefit_class,suds_conversion_link_energy_share,suds_memory_energy_share,suds_control_energy_share,suds_memory_latency_factor,suds_conversion_latency_factor,suds_control_latency_factor,nominal_accuracy_evidence_label,nominal_device,claim_boundary,scenario_description
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_named_optimistic,optimistic,named_regime,,False,bert_base_glue_seq128,suds_pareto,lightening_dptc,2.0,1.4,4.0,1.0,0.75,0.85,0.85,0.75,0.5,228317388.88440874,324072792.6397942,0.7045250143481893,29.547498565181073,25236.009665824313,26831.362642540116,0.9405414850535235,5761819832762.708,8695314621899.022,0.6626350032524009,33.73649967475991,True,beneficial,0.9742794462273546,0.02566248240131161,5.8071371333630965e-05,1.0826546903645702,3.542402273860544,1.624504792712471,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",Higher bandwidth/reuse and lower conversion/link/control costs.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_named_optimistic,optimistic,named_regime,,False,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,2.0,1.4,4.0,1.0,0.75,0.85,0.85,0.75,0.5,37417831.60748586,40508464.54293792,0.923704021608223,7.629597839177704,3764.000744875262,3757.2830197385847,1.0017879209794383,140840746042.1939,152201765982.86316,0.9253555314072478,7.4644468592752204,True,beneficial,0.9736100849112613,0.026205259509648676,0.00018465557908977685,1.0826546903645702,3.542402273860544,1.624504792712471,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",Higher bandwidth/reuse and lower conversion/link/control costs.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_named_nominal,nominal,named_regime,,True,bert_base_glue_seq128,suds_pareto,lightening_dptc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68905538.99839208,97367145.133984,0.7076877821936058,29.231221780639416,8019.259607716052,8526.215733333336,0.9405414850535234,552571405637.7087,830173284751.1248,0.6656097176186084,33.43902823813916,True,beneficial,0.9555775506667936,0.04430400182203888,0.00011844751116728734,1.0,1.0,1.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",The selected architecture summary surface.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_named_nominal,nominal,named_regime,,True,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11414656.791950667,12443405.192075629,0.9173258136140979,8.267418638590208,1196.0884282616387,1193.9537333333335,1.0017879209794383,13652938901.430313,14856850084.458082,0.9189659196812389,8.103408031876114,True,beneficial,0.9548701103336487,0.044757277359426716,0.0003726123069244868,1.0,1.0,1.0,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",The selected architecture summary surface.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_named_pessimistic,pessimistic,named_regime,,True,bert_base_glue_seq128,suds_pareto,lightening_dptc,0.5,0.65,1.0,2.0,2.0,1.25,1.15,1.25,3.0,177625723.11818266,250132837.7192992,0.7101255666299819,28.987443337001807,25694.356259105312,27318.68468049883,0.9405414850535235,4563978610579.784,6833300121891.919,0.6679025550126382,33.209744498736185,True,beneficial,0.941554107343376,0.058170199830493034,0.0002756928261309196,6.153846153846153,2.62110142320995,6.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.","Lower bandwidth/reuse with stressed ADC, DAC, laser, link, and sideband terms."
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_named_pessimistic,pessimistic,named_regime,,True,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,0.5,0.65,1.0,2.0,2.0,1.25,1.15,1.25,3.0,29405642.5727088,33514256.31080864,0.8774069846576075,12.259301534239253,3832.3640456255025,3825.524310453492,1.0017879209794383,112693127334.1638,128209602263.76782,0.8789757190129823,12.102428098701768,True,beneficial,0.9403283883660252,0.05880376970408323,0.0008678419298915251,6.153846153846153,2.62110142320995,6.0,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.","Lower bandwidth/reuse with stressed ADC, DAC, laser, link, and sideband terms."
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_0p25,one_at_a_time_sweep,memory_bandwidth_scale,0.25,False,bert_base_glue_seq128,suds_pareto,lightening_dptc,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69821376.33599207,98366896.813984,0.709805621580472,29.0194378419528,13552.54873704013,14409.30458933334,0.9405414850535234,946257605680.7529,1417398577700.2188,0.6676016334206365,33.23983665793635,True,beneficial,0.9430433720842688,0.05683973406418736,0.00011689385154375347,4.0,1.0,1.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_0p25,one_at_a_time_sweep,memory_bandwidth_scale,0.25,False,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11567923.479950666,12596671.880075628,0.9183317300062288,8.166826999377118,2021.3894437621695,2017.7818093333337,1.0017879209794383,23383278408.62082,25417335377.757328,0.9199736345723908,8.002636542760921,True,beneficial,0.9422187663361988,0.05741355820265439,0.0003676754611466481,4.0,1.0,1.0,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_0p5,one_at_a_time_sweep,memory_bandwidth_scale,0.5,False,bert_base_glue_seq128,suds_pareto,lightening_dptc,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69210818.1109254,97700395.693984,0.7083985445433271,29.160145545667294,9863.689317490745,10487.245352000005,0.9405414850535234,682674007255.5299,1024608020630.295,0.6662782190945353,33.37217809054647,True,beneficial,0.9513626334820727,0.04851944146194932,0.00011792505597779691,2.0,1.0,1.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_0p5,one_at_a_time_sweep,memory_bandwidth_scale,0.5,False,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11465745.687950667,12494494.088075629,0.917663861147706,8.233613885229396,1471.1887667618157,1468.5630920000006,1.001787920979438,16868276258.660748,18348952870.96007,0.9193045716171241,8.06954283828759,True,beneficial,0.9506154145565034,0.04901363341684629,0.0003709520266501047,2.0,1.0,1.0,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_0p75,one_at_a_time_sweep,memory_bandwidth_scale,0.75,False,bert_base_glue_seq128,suds_pareto,lightening_dptc,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69007298.70256984,97478228.65398401,0.7079252429537194,29.20747570462806,8634.069510974283,9179.892272888892,0.9405414850535234,595813813762.5535,894839637995.6044,0.6658330593145676,33.41669406854324,True,beneficial,0.9541684346645302,0.045713292489648415,0.00011827284582139507,1.3333333333333333,1.0,1.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_0p75,one_at_a_time_sweep,memory_bandwidth_scale,0.75,False,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11431686.423950667,12460434.824075628,0.917438804130876,8.256119586912403,1287.788541095031,1285.4901862222223,1.0017879209794383,14721594782.1553,16017766682.410843,0.9190791122161323,8.092088778386774,True,beneficial,0.9534476529652667,0.04618028980343191,0.0003720572313013223,1.3333333333333333,1.0,1.0,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_1,one_at_a_time_sweep,memory_bandwidth_scale,1.0,False,bert_base_glue_seq128,suds_pareto,lightening_dptc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68905538.99839208,97367145.133984,0.7076877821936058,29.231221780639416,8019.259607716052,8526.215733333336,0.9405414850535234,552571405637.7087,830173284751.1248,0.6656097176186084,33.43902823813916,True,beneficial,0.9555775506667936,0.04430400182203888,0.00011844751116728734,1.0,1.0,1.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_1,one_at_a_time_sweep,memory_bandwidth_scale,1.0,False,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11414656.791950667,12443405.192075629,0.9173258136140979,8.267418638590208,1196.0884282616387,1193.9537333333335,1.0017879209794383,13652938901.430313,14856850084.458082,0.9189659196812389,8.103408031876114,True,beneficial,0.9548701103336487,0.044757277359426716,0.0003726123069244868,1.0,1.0,1.0,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_1p5,one_at_a_time_sweep,memory_bandwidth_scale,1.5,False,bert_base_glue_seq128,suds_pareto,lightening_dptc,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68803779.2942143,97256061.613984,0.7074497789896246,29.255022101037543,7404.449704457822,7872.53919377778,0.9405414850535235,509454123260.6262,765652156888.5558,0.6653858657316885,33.46141342683116,True,beneficial,0.9569908347897337,0.042890542517098444,0.000118622693167762,0.6666666666666666,1.0,1.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_1p5,one_at_a_time_sweep,memory_bandwidth_scale,1.5,False,mobilevit_s_transformer_blocks_256,suds_pareto,lightening_dptc,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11397627.159950666,12426375.560075628,0.917212513403329,8.278748659667102,1104.3883154282464,1102.4172804444447,1.001787920979438,12587406259.057144,13699051150.719887,0.9188524168986459,8.114758310135405,True,beneficial,0.9562968183982817,0.04333001256045101,0.0003731690412672184,0.6666666666666666,1.0,1.0,measured_mps_imagenet,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
20260513_tetc_pivot,R6_memory_bandwidth_conversion_link_sensitivity,r6_sweep_memory_bandwidth_scale_2,one_at_a_time_sweep,memory_bandwidth_scale,2.0,False,bert_base_glue_seq128,suds_pareto,lightening_dptc,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68752899.44212541,97200519.853984,0.7073305733900085,29.266942660999153,7097.044752828707,7545.7009240000025,0.9405414850535235,487942404227.49585,733446052475.4877,0.6652737479199988,33.47262520800012,True,beneficial,0.9576990456800323,0.04218224384133715,0.00011871047863036408,0.5,1.0,1.0,measured_mps_glue,mps,"Parametric architecture sensitivity from modeled R6 component scaling; not a hardware measurement, layout signoff, device-solver result, or new accuracy run.",One-at-a-time R6 sweep for memory_bandwidth_scale.
