tag,sensitivity_case,workload,workload_family,model,dataset_or_split,condition,condition_label,condition_family,tile_dim,tiles,cores_per_tile,parallel_cores,sideband_group_cols,adc_sharing_mode,source_condition,n_kernels,macs,dptc_tiles,output_values,memory_moved_bytes,control_groups,keep_ratio,degrade_ratio,prune_ratio,active_compute_ratio,latency_ns,energy_pj,edp_pj_ns,area_mm2,adc_energy_pj,dac_mzm_energy_pj,detector_tia_energy_pj,laser_energy_pj,memory_energy_pj,optical_link_energy_pj,control_energy_pj,optical_link_pj,control_overhead_pj,digital_fallback_energy_pj,accuracy_metric,accuracy,delta_accuracy,accuracy_evidence_label,promotion_decision,device,git_hash,architecture_evidence_label,claim_boundary,roadmap_item,sweep_family,sequence_length,batch_size,source_profile_workload,workload_setup_status,accuracy_run_status,setup_blocker,hidden_failure_status,device_policy,mps_probe_status,mps_available,mps_python,claim_role,energy_ratio_vs_lightening,latency_ratio_vs_lightening,edp_ratio_vs_lightening,energy_improvement_vs_lightening_pct,edp_improvement_vs_lightening_pct,supports_architecture_generalization,result_class
20260513_tetc_pivot,nominal,bert_base_seq64_batch1_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=1",lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",lightening_style,32,4,2,8,32,temporal_accum,e0_dense_transfer,72,5511315456,168192,6488064,193658880,6336,1.0,0.0,0.0,1.0,4205.466933333336,88172695.04517761,370807353435.3785,2.567190939748361,1141418.6675355923,82963497.02315746,821821.4406256265,31956.480024327448,2904883.1999999997,308183.0402346099,935.1935999999998,308183.0402346099,935.1935999999998,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,1,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,1.0,1.0,1.0,0.0,0.0,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch1_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=1",l1,L1 selector,selector_ablation,32,4,2,8,32,temporal_accum,e2_l1_transfer,72,5511315456,168192,6488064,193658880,6336,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,3953.363607716052,62368547.84329962,246565547309.79816,2.559759396467313,799257.2845590662,58093652.42941004,575465.2448825277,22376.93335036818,2661061.2906666663,215799.4668309479,935.1935999999998,215799.4668309479,935.1935999999998,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,1,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.7073453727522273,0.9400534281653566,0.6649424425526334,29.26546272477727,33.50575574473667,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch1_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=1",slack_only,Slack-only selector,selector_ablation,32,4,2,8,32,temporal_accum,e3_slack_transfer,72,5511315456,168192,6488064,193658880,6336,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,3955.2644077160517,62371353.424099624,246695194259.41992,5.601039396467313,799257.2845590662,58093652.42941004,575465.2448825277,22376.93335036818,2661061.2906666663,215799.4668309479,3740.7743999999993,215799.4668309479,3740.7743999999993,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,1,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.7073771919089239,0.9405054112697615,0.6652920767991515,29.26228080910761,33.470792320084854,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch1_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=1",signal_only,Signal/L1 tier selector,selector_ablation,32,4,2,8,32,temporal_accum,signal_transfer,72,5511315456,168192,6488064,193658880,6336,0.026945891203703706,0.7718340084876546,0.20122010030864199,0.798779899691358,4036.2180506283357,70025695.58694784,282638976535.8439,2.547851636565335,85818.15225409289,66269573.830202,656454.4479071455,25526.193908321166,2741217.3511111108,246170.41796517954,935.1935999999998,246170.41796517954,935.1935999999998,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,1,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.7941879915439619,0.9597550318697072,0.7622259211348139,20.58120084560381,23.77740788651861,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch1_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=1",hyatten_style,HyAtten-style low-resolution signal selector,hyatten_style,32,4,2,8,32,temporal_accum,hyatten_low_resolution_fraction_transfer,72,5511315456,168192,6488064,193658880,6336,0.15,0.85,0.0,0.85,4081.192297321428,74743876.11666472,305044131479.2791,5.592656,181913.5998919797,70518972.46968384,821821.4406256265,27163.00802067833,2782878.1055999994,308183.0402346099,3740.7743999999993,308183.0402346099,3740.7743999999993,99203.678208,primary_metric,nan,nan,literature_baseline_unmeasured_locally,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,1,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.8476986676926198,0.9704492656863182,0.8226485495855732,15.23013323073802,17.735145041442678,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch1_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=1",suds_pareto,SUDS schedule-guarded Pareto policy,suds,32,4,2,8,32,temporal_accum,e2_l1_schedule_guarded_transfer,72,5511315456,168192,6488064,193658880,6336,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,3955.2644077160517,62371353.424099624,246695194259.41992,5.601039396467313,799257.2845590662,58093652.42941004,575465.2448825277,22376.93335036818,2661061.2906666663,215799.4668309479,3740.7743999999993,215799.4668309479,3740.7743999999993,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,1,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.7073771919089239,0.9405054112697615,0.6652920767991515,29.26228080910761,33.470792320084854,True,architecture_support_with_accuracy_boundary
20260513_tetc_pivot,nominal,bert_base_seq64_batch4_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=4",lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",lightening_style,32,4,2,8,32,temporal_accum,e0_dense_transfer,72,22045261824,672768,25952256,264437760,25344,1.0,0.0,0.0,1.0,16821.76773333334,110772008.8023714,1863381003428.248,5.682843758993443,4565674.670142369,97588183.11429077,3287285.762502506,127825.92009730979,3966566.4,1232732.1609384397,3740.7743999999993,1232732.1609384397,3740.7743999999993,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,4,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,1.0,1.0,1.0,0.0,0.0,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch4_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=4",l1,L1 selector,selector_ablation,32,4,2,8,32,temporal_accum,e2_l1_transfer,72,22045261824,672768,25952256,264437760,25344,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,15813.384407716057,78423286.44476424,1240137575067.4849,5.653117585869252,3197029.1382362647,68334318.03720593,2301860.979530111,89507.73340147272,3633631.9146666666,863197.8673237916,3740.7743999999993,863197.8673237916,3740.7743999999993,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,4,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.7079702471107066,0.940054853829713,0.665530867163441,29.202975288929345,33.4469132836559,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch4_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=4",slack_only,Slack-only selector,selector_ablation,32,4,2,8,32,temporal_accum,e3_slack_transfer,72,22045261824,672768,25952256,264437760,25344,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,15820.987607716057,78434508.76796424,1240911391235.2588,17.81823758586925,3197029.1382362647,68334318.03720593,2301860.979530111,89507.73340147272,3633631.9146666666,863197.8673237916,14963.097599999997,863197.8673237916,14963.097599999997,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,4,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.7080715572099034,0.9405068396210121,0.665946142497015,29.192844279009655,33.4053857502985,False,boundary_or_baseline_context
20260513_tetc_pivot,nominal,bert_base_seq64_batch4_r9,NLP Transformer encoder,bert_base,"GLUE-style architecture sweep, seq_len=64, batch_size=4",signal_only,Signal/L1 tier selector,selector_ablation,32,4,2,8,32,temporal_accum,signal_transfer,72,22045261824,672768,25952256,264437760,25344,0.026945891203703706,0.7718340084876546,0.20122010030864199,0.798779899691358,16144.864683961676,85754180.33274513,1384489637556.2178,5.605486546261341,343272.60901637154,77951479.11909506,2625817.791628582,102104.77563328466,3743083.591111111,984681.6718607182,3740.7743999999993,984681.6718607182,3740.7743999999993,0.0,primary_metric,nan,nan,sequence_batch_unmeasured_accuracy_boundary,appendix_boundary,not_run_mps_required,d335c6f,modeled_system_ppa,"R9 workload expansion is simulator-only generality evidence unless accuracy_evidence_label is measured_mps_*; it is not a new measured accuracy, silicon, layout, device-solver, or bench-energy claim",R9_workload_generality_expansion,sequence_batch_sweep,64,4,bert_base_glue_seq128,simulator_only_with_recorded_blocker,not_run_boundary_or_blocker_recorded,no governed measured accuracy row for this exact sequence-length/batch setting,visible_blocker_or_not_failed,mps_required_for_accuracy_runs,pass,True,.venv311-mps/bin/python,architecture_only_generality_boundary,0.7741502682842862,0.9597602903510348,0.742998686263858,22.584973171571377,25.700131373614198,False,boundary_or_baseline_context
