tag,workload,model,dataset_or_split,kernel_id,kernel_index,kernel_name,kernel_class,layer_index,m,d,n,macs,tile_m,tile_d,tile_n,dptc_tiles,output_groups,output_values,operand_values,dptc_cycles,base_latency_ns,schedule_start_ns,schedule_deadline_ns,scheduler_slack_norm,slack_source,mapping_evidence,condition,condition_label,keep_ratio,degrade_ratio,prune_ratio,active_compute_ratio,condition_latency_ns,condition_dptc_tiles,condition_output_values
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k000,0,bert.encoder.layer.0.attention.self.qkv,mha_qkv_projection,0,128,768,2304,226492416,4,24,72,6912,288,294912,1867776,864,172.8,0.0,412.48,0.5138479441427464,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,172.8,6912,294912
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k001,1,bert.encoder.layer.0.attention.self.qk_scores,mha_qk_scores,0,1536,64,128,12582912,48,2,4,384,192,196608,106496,48,9.600000000000001,172.8,201.76000000000002,0.5422651933701657,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,9.600000000000001,384,196608
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k002,2,bert.encoder.layer.0.attention.self.av_context,mha_av_context,0,1536,128,64,12582912,48,4,2,384,96,98304,204800,48,9.600000000000001,182.4,211.36,0.5422651933701657,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,9.600000000000001,384,98304
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k003,3,bert.encoder.layer.0.attention.output.dense,mha_output_projection,0,128,768,768,75497472,4,24,24,2304,96,98304,688128,288,57.6,192.0,333.76,0.517945823927765,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,57.6,2304,98304
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k004,4,bert.encoder.layer.0.intermediate.dense,ffn_expand,0,128,768,3072,301989888,4,24,96,9216,384,393216,2457600,1152,230.4,249.6,797.44,0.5133177570093458,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,230.4,9216,393216
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k005,5,bert.encoder.layer.0.output.dense,ffn_project,0,128,3072,768,301989888,4,96,24,9216,96,98304,2752512,1152,230.4,480.0,1027.84,0.5133177570093456,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,230.4,9216,98304
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k006,6,bert.encoder.layer.1.attention.self.qkv,mha_qkv_projection,1,128,768,2304,226492416,4,24,72,6912,288,294912,1867776,864,172.8,710.4,1122.88,0.5456661259609283,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,172.8,6912,294912
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k007,7,bert.encoder.layer.1.attention.self.qk_scores,mha_qk_scores,1,1536,64,128,12582912,48,2,4,384,192,196608,106496,48,9.600000000000001,883.2,912.1600000000001,0.5740833751883494,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,9.600000000000001,384,196608
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k008,8,bert.encoder.layer.1.attention.self.av_context,mha_av_context,1,1536,128,64,12582912,48,4,2,384,96,98304,204800,48,9.600000000000001,892.8000000000001,921.7600000000001,0.5740833751883494,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,9.600000000000001,384,98304
20260513_tetc_pivot,bert_base_glue_seq128,bert_base,"GLUE validation, seq_len=128",bert_base_glue_seq128:k009,9,bert.encoder.layer.1.attention.output.dense,mha_output_projection,1,128,768,768,75497472,4,24,24,2304,96,98304,688128,288,57.6,902.4000000000001,1044.16,0.5497640057459472,dptc_photonic_tile_schedule,generated canonical BERT-base encoder GEMM schedule,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",1.0,0.0,0.0,1.0,57.6,2304,98304
