tag,sensitivity_case,workload,workload_family,model,dataset_or_split,condition,condition_label,condition_family,tile_dim,tiles,cores_per_tile,parallel_cores,sideband_group_cols,adc_sharing_mode,source_condition,n_kernels,macs,dptc_tiles,output_values,memory_moved_bytes,control_groups,keep_ratio,degrade_ratio,prune_ratio,active_compute_ratio,latency_ns,energy_pj,edp_pj_ns,area_mm2,adc_energy_pj,dac_mzm_energy_pj,detector_tia_energy_pj,laser_energy_pj,memory_energy_pj,optical_link_energy_pj,control_energy_pj,optical_link_pj,control_overhead_pj,digital_fallback_energy_pj,accuracy_metric,accuracy,delta_accuracy,accuracy_evidence_label,promotion_decision,device,git_hash,architecture_evidence_label,claim_boundary,energy_ratio_vs_lightening,latency_ratio_vs_lightening,edp_ratio_vs_lightening,energy_improvement_vs_lightening_pct,edp_improvement_vs_lightening_pct
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",lightening_style,32,4,2,8,32,temporal_accum,e0_dense,72,11173625856,340992,14155776,222167040,13824,1.0,0.0,0.0,1.0,9208.348992000005,100805298.55676402,928250369353.4375,3.794569323087333,4980736.003791675,89011978.30776198,1793064.9613650031,74506.7520567196,4165632.0,773259.2645886575,6121.267199999999,773259.2645886575,6121.267199999999,0.0,primary_metric,86.71328716508293,0.0,measured_mps_glue,appendix,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",1.0,1.0,1.0,0.0,0.0
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",uniform_8bit,Uniform 8-bit DPTC mapping,uniform,32,4,2,8,32,temporal_accum,e0_dense,72,11173625856,340992,14155776,222167040,13824,1.0,0.0,0.0,1.0,9208.708992000003,125708978.5757224,1157617401385.3906,3.794569323087333,29884416.022750054,89011978.30776198,1793064.9613650031,74506.7520567196,4165632.0,773259.2645886575,6121.267199999999,773259.2645886575,6121.267199999999,0.0,primary_metric,86.71328716508293,0.0,measured_mps_glue,appendix,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",1.2470473315937354,1.0000390949561437,1.2470960848544732,-24.70473315937354,-24.70960848544732
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",uniform_4bit,Uniform 4-bit DPTC mapping,uniform,32,4,2,8,32,temporal_accum,uniform_4bit_architecture_only,72,11173625856,340992,14155776,222167040,13824,0.0,1.0,0.0,1.0,9208.281491999996,96135858.5527875,885246047029.1627,3.7540023307718333,311295.99981515243,89011978.30776198,1793064.9613650031,74506.7520567196,4165632.0,773259.2645886575,6121.267199999999,773259.2645886575,6121.267199999999,0.0,primary_metric,nan,nan,unmeasured_accuracy_boundary,boundary,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.95367862532199,0.9999926696957221,0.9536716345674832,4.632137467801001,4.632836543251684
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",random,Random same-sparsity selector,selector_ablation,32,4,2,8,32,temporal_accum,fixed_binary_sparsity_random_architecture_only,72,11173625856,340992,14155776,222167040,13824,0.7002314814814816,0.0,0.29976851851851843,0.7751736111111112,8794.341808666672,78251702.43772027,688172218347.3871,3.7783550468377736,3487668.1508031995,68999736.65697175,1255560.5342891517,57755.66804396755,3903399.6800000006,541460.4804121966,6121.267199999999,541460.4804121966,6121.267199999999,0.0,primary_metric,nan,nan,unmeasured_random_architecture_boundary,boundary,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.7762657673560314,0.9550400203453395,0.7413648742490949,22.373423264396862,25.863512575090507
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",l1,L1 selector,selector_ablation,32,4,2,8,32,temporal_accum,e2_l1,72,11173625856,340992,14155776,222167040,13824,0.7002314814814814,0.0,0.29976851851851843,0.7751736111111112,8794.341808666672,78251702.43772027,688172218347.3871,3.7783550468377736,3487668.150803198,68999736.65697175,1255560.5342891514,57755.66804396755,3903399.6800000006,541460.4804121965,6121.267199999999,541460.4804121965,6121.267199999999,0.0,primary_metric,86.71328716508293,0.0,measured_mps_glue,appendix,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.7762657673560314,0.9550400203453395,0.7413648742490949,22.373423264396862,25.863512575090507
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",slack_only,Slack-only selector,selector_ablation,32,4,2,8,32,temporal_accum,e3_slack,72,11173625856,340992,14155776,222167040,13824,0.7002314814814814,0.0,0.29976851851851843,0.7751736111111112,8798.82078466667,78270066.23932028,688684285643.7683,10.413875046837774,3487668.150803198,68999736.65697175,1255560.5342891514,57755.66804396755,3903399.6800000006,541460.4804121965,24485.068799999997,541460.4804121965,24485.068799999997,0.0,primary_metric,86.71328716508293,0.0,measured_mps_glue,appendix,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.7764479383516331,0.9555264241516994,0.7419165220730951,22.355206164836694,25.80834779269049
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",suds_only,SUDS budget only,suds,32,4,2,8,32,temporal_accum,e4_suds,72,11173625856,340992,14155776,222167040,13824,0.026945891203703706,0.7718340084876546,0.20122010030864199,0.8490849247685185,8934.872881357203,82080492.08466005,733378762815.6837,10.387894479778913,374479.2098360417,75578728.90494308,1432264.2499792264,63262.55996482643,3989608.133333334,617663.9578035414,24485.068799999997,617663.9578035414,24485.068799999997,0.0,primary_metric,86.71328716508293,0.0,measured_mps_glue,appendix,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.814247795104144,0.9703012873555954,0.790065683816006,18.575220489585597,20.993431618399406
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",signal_only,Signal/L1 tier selector,selector_ablation,32,4,2,8,32,temporal_accum,signal_architecture_only,72,11173625856,340992,14155776,222167040,13824,0.026945891203703706,0.7718340084876546,0.20122010030864199,0.8490849247685185,8930.393905357203,82062128.28306004,732847130279.6804,3.752374479778913,374479.2098360417,75578728.90494308,1432264.2499792264,63262.55996482643,3989608.133333334,617663.9578035414,6121.267199999999,617663.9578035414,6121.267199999999,0.0,primary_metric,nan,nan,unmeasured_signal_architecture_boundary,boundary,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.8140656241085423,0.9698148835492353,0.7894929584462617,18.59343758914577,21.050704155373833
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",suds_l1,SUDS budget + L1 selector,suds,32,4,2,8,32,temporal_accum,e7_overlay,72,11173625856,340992,14155776,222167040,13824,0.026945891203703706,0.7718340084876546,0.20122010030864199,0.8490849247685185,8934.872881357203,82080492.08466005,733378762815.6837,10.387894479778913,374479.2098360417,75578728.90494308,1432264.2499792264,63262.55996482643,3989608.133333334,617663.9578035414,24485.068799999997,617663.9578035414,24485.068799999997,0.0,primary_metric,86.71328716508293,0.0,measured_mps_glue,appendix,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.814247795104144,0.9703012873555954,0.790065683816006,18.575220489585597,20.993431618399406
20260513_tetc_pivot,pessimistic,bert_base_glue_seq128,NLP Transformer encoder,bert_base,"GLUE validation, seq_len=128",suds_signal,SUDS budget + signal/overflow selector,suds,32,4,2,8,32,temporal_accum,e8_overflow,72,11173625856,340992,14155776,222167040,13824,0.026945891203703706,0.7718340084876546,0.20122010030864199,0.8490849247685185,8934.872881357203,82080492.08466005,733378762815.6837,10.387894479778913,374479.2098360417,75578728.90494308,1432264.2499792264,63262.55996482643,3989608.133333334,617663.9578035414,24485.068799999997,617663.9578035414,24485.068799999997,0.0,primary_metric,86.71328716508293,0.0,measured_mps_glue,appendix,mps,1da8b35,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",0.814247795104144,0.9703012873555954,0.790065683816006,18.575220489585597,20.993431618399406
