panel,kind,sequence,stage,lane_label,start_cycle,end_cycle,width_cycles,derivation
E0,stage,Sequence i,fetch_map,Fetch/Map,0.000000,3637758649.000000,3637758649.000000,
E0,stage,Sequence i,btos,BtoS,3637758649.000000,3641840564.000000,4081915.000000,
E0,stage,Sequence i,serialize_drive,Serialize,3641840564.000000,3646262641.000000,4422077.000000,
E0,stage,Sequence i,oag_compute,OAG,3646262641.000000,5402001825.000000,1755739184.000000,
E0,stage,Sequence i,pca_adc,PCA / ADC,5402001825.000000,5837542155.000000,435540330.000000,
E0,stage,Sequence i,electronic_compute,Elec.,5837542155.000000,5838346086.000000,803931.000000,
E0,stage,Sequence i,writeback,Writeback,5838346086.000000,10247320590.000000,4408974504.000000,
E0,stage,Sequence i+1,fetch_map,Fetch/Map,5236092186.000000,8873850835.000000,3637758649.000000,
E0,stage,Sequence i+1,btos,BtoS,8873850835.000000,8877932750.000000,4081915.000000,
E0,stage,Sequence i+1,serialize_drive,Serialize,8877932750.000000,8882354827.000000,4422077.000000,
E0,stage,Sequence i+1,oag_compute,OAG,8882354827.000000,10638094011.000000,1755739184.000000,
E0,stage,Sequence i+1,pca_adc,PCA / ADC,10638094011.000000,11073634341.000000,435540330.000000,
E0,stage,Sequence i+1,electronic_compute,Elec.,11073634341.000000,11074438272.000000,803931.000000,
E0,stage,Sequence i+1,writeback,Writeback,11074438272.000000,15483412776.000000,4408974504.000000,
E0,starvation_window,,oag_starvation,OAG,5402001825.000000,8882354827.000000,3480353002.000000,seq_i_oag_end_to_seq_i1_oag_start
E2,stage,Sequence i,fetch_map,Fetch/Map,0.000000,3328760784.000000,3328760784.000000,
E2,stage,Sequence i,btos,BtoS,3328760784.000000,3332840706.000000,4079922.000000,
E2,stage,Sequence i,serialize_drive,Serialize,3332840706.000000,3336995547.000000,4154841.000000,
E2,stage,Sequence i,oag_compute,OAG,3336995547.000000,5218730096.000000,1881734549.000000,
E2,stage,Sequence i,pca_adc,PCA / ADC,5218730096.000000,5689754360.000000,471024264.000000,
E2,stage,Sequence i,electronic_compute,Elec.,5689754360.000000,5690565336.000000,810976.000000,
E2,stage,Sequence i,writeback,Writeback,5690565336.000000,10247320572.000000,4556755236.000000,
E2,stage,Sequence i+1,fetch_map,Fetch/Map,3267191335.000000,6595952119.000000,3328760784.000000,
E2,stage,Sequence i+1,btos,BtoS,6595952119.000000,6600032041.000000,4079922.000000,
E2,stage,Sequence i+1,serialize_drive,Serialize,6600032041.000000,6604186882.000000,4154841.000000,
E2,stage,Sequence i+1,oag_compute,OAG,6604186882.000000,8485921431.000000,1881734549.000000,
E2,stage,Sequence i+1,pca_adc,PCA / ADC,8485921431.000000,8956945695.000000,471024264.000000,
E2,stage,Sequence i+1,electronic_compute,Elec.,8956945695.000000,8957756671.000000,810976.000000,
E2,stage,Sequence i+1,writeback,Writeback,8957756671.000000,13514511907.000000,4556755236.000000,
E2,starvation_window,,oag_starvation,OAG,5218730096.000000,6604186882.000000,1385456786.000000,seq_i_oag_end_to_seq_i1_oag_start
E2,overlap_window,Sequence i+1,hops_earlier_staging,Fetch/Map-to-OAG preparation window,3267191335.000000,6604186882.000000,3336995547.000000,seq_i1_fetch_map_start_to_seq_i1_oag_compute_start
